feature,importance
Contract_Month-to-month,0.36115592463347657
tenure,0.17708497766480735
InternetService_Fiber optic,0.1290500991756008
OnlineSecurity_No,0.08147604382336388
TechSupport_No,0.06024075597337414
PaymentMethod_Electronic check,0.055374551147373795
TotalCharges,0.03468461735243322
AvgMonthlySpend,0.02246720333198853
MonthlyCharges,0.01683930545660239
PaperlessBilling_Yes,0.016711659571909773
MultipleLines_No,0.00959047280589905
Contract_Two year,0.00956629831150071
OnlineBackup_No,0.008534785562463728
StreamingTV_Yes,0.004232166921894522
StreamingMovies_Yes,0.0036503463480001075
